filename,label,group
a01_win0000,0,a01
a01_win0001,0,a01
a01_win0002,0,a01
a01_win0003,0,a01
a01_win0004,0,a01
a01_win0005,0,a01
a01_win0006,0,a01
a01_win0007,0,a01
a01_win0008,0,a01
a01_win0009,0,a01
a01_win0010,0,a01
a01_win0011,0,a01
a01_win0012,0,a01
a01_win0013,1,a01
a01_win0014,1,a01
a01_win0015,1,a01
a01_win0016,1,a01
a01_win0017,1,a01
a01_win0018,1,a01
a01_win0019,1,a01
a01_win0020,1,a01
a01_win0021,1,a01
a01_win0022,1,a01
a01_win0023,1,a01
a01_win0024,1,a01
a01_win0025,1,a01
a01_win0026,1,a01
a01_win0027,1,a01
a01_win0028,1,a01
a01_win0029,1,a01
a01_win0030,1,a01
a01_win0031,1,a01
a01_win0032,1,a01
a01_win0033,1,a01
a01_win0034,1,a01
a01_win0035,1,a01
a01_win0036,1,a01
a01_win0037,1,a01
a01_win0038,1,a01
a01_win0039,1,a01
a01_win0040,1,a01
a01_win0041,1,a01
a01_win0042,1,a01
a01_win0043,1,a01
a01_win0044,1,a01
a01_win0045,1,a01
a01_win0046,1,a01
a01_win0047,1,a01
a01_win0048,1,a01
a01_win0049,1,a01
a01_win0050,1,a01
a01_win0051,1,a01
a01_win0052,1,a01
a01_win0053,1,a01
a01_win0054,1,a01
a01_win0055,1,a01
a01_win0056,1,a01
a01_win0057,1,a01
a01_win0058,1,a01
a01_win0059,1,a01
a01_win0060,1,a01
a01_win0061,1,a01
a01_win0062,1,a01
a01_win0063,1,a01
a01_win0064,1,a01
a01_win0065,1,a01
a01_win0066,1,a01
a01_win0067,1,a01
a01_win0068,1,a01
a01_win0069,1,a01
a01_win0070,1,a01
a01_win0071,1,a01
a01_win0072,1,a01
a01_win0073,1,a01
a01_win0074,1,a01
a01_win0075,1,a01
a01_win0076,1,a01
a01_win0077,1,a01
a01_win0078,1,a01
a01_win0079,1,a01
a01_win0080,1,a01
a01_win0081,1,a01
a01_win0082,1,a01
a01_win0083,1,a01
a01_win0084,1,a01
a01_win0085,1,a01
a01_win0086,1,a01
a01_win0087,1,a01
a01_win0088,1,a01
a01_win0089,1,a01
a01_win0090,1,a01
a01_win0091,1,a01
a01_win0092,1,a01
a01_win0093,1,a01
a01_win0094,1,a01
a01_win0095,1,a01
a01_win0096,1,a01
a01_win0097,1,a01
a01_win0098,1,a01
a01_win0099,1,a01
a01_win0100,1,a01
a01_win0101,1,a01
a01_win0102,1,a01
a01_win0103,1,a01
a01_win0104,1,a01
a01_win0105,1,a01
a01_win0106,1,a01
a01_win0107,1,a01
a01_win0108,1,a01
a01_win0109,1,a01
a01_win0110,1,a01
a01_win0111,1,a01
a01_win0112,1,a01
a01_win0113,1,a01
a01_win0114,1,a01
a01_win0115,1,a01
a01_win0116,1,a01
a01_win0117,1,a01
a01_win0118,1,a01
a01_win0119,1,a01
a01_win0120,1,a01
a01_win0121,1,a01
a01_win0122,1,a01
a01_win0123,1,a01
a01_win0124,1,a01
a01_win0125,1,a01
a01_win0126,1,a01
a01_win0127,1,a01
a01_win0128,1,a01
a01_win0129,1,a01
a01_win0130,1,a01
a01_win0131,1,a01
a01_win0132,1,a01
